menu_name,sub_intent_name,description,model,reasoning,typo_issues,consistency_issues,quality_issues,clarity_score,judgment_issues,can_judge_user_intent,missing_info,severity,suggestion
i豆,查i豆,查询当前i豆余额，注意与i豆明细区分，后者指查询收支变化，而本意图仅为查询当前余额,qwen-plus,,,,,0,,False,,unknown,
i豆,赚i豆,客户参加工银i豆营销活动达标后，按照对应活动规则获取i豆,Qwen/Qwen3-8B,,,,描述不够具体，缺乏金融业务场景示例，可能导致理解困难,3,描述过于简略，无法明确用户意图的边界,False,需要更详细的业务规则或场景说明，例如活动类型、达标条件、i豆获取方式等,minor,建议增加具体业务场景和规则说明，以提升描述的清晰度和用户意图判断的准确性
i豆,花i豆,客户使用i豆兑换相关产品、权益,openpangu-2.0-flash,,标点不规范：描述以未标点符号结尾，建议添加句号。,,描述过于简短，缺乏对'i豆'的定义和上下文|用语'相关产品、权益'存在歧义，未具体说明|未包含具体业务场景示例,3,描述信息不足，无法唯一确定用户意图,False,缺少'i豆'的具体定义、兑换范围、兑换条件、适用产品类型等关键信息。,major,建议扩展描述，明确'i豆'的定义、兑换的具体产品和权益范围，并提供业务场景示例。
i豆,i豆明细,客户查询最近工银i豆收入、支出明细变化,qwen-plus,,,,,0,,False,,unknown,
理财,理财产品推荐,需要主动向客户推荐理财产品，用户提供风险偏好、投资目标等描述，根据用户潜在投资意向或明确的理财购买需求，个性化推荐最适合的理财产品，注意用户寻求推荐基金不属于此意图,Qwen/Qwen3-8B,,,,描述不够清晰，未明确区分与其他理财意图如基金推荐|缺乏具体的业务场景示例,3,缺少关键区分信息，如用户寻求推荐基金应排除在此意图外,False,未能明确区分基金推荐与理财产品推荐，导致意图边界模糊,minor,建议明确区分理财产品推荐与基金推荐，补充具体的业务场景示例，并对用户意图进行更清晰的定义，以提高意图识别的准确性。
理财,查持仓,用户想要查询当前持有的理财产品相关状态，注意查询持有基金不属于此意图（只有理财产品才算）,openpangu-2.0-flash,,标点使用不规范，中文描述建议使用全角括号,,描述缺乏具体的业务场景示例，如查询净值、收益状态等,4,,True,,minor,建议增加具体业务场景示例（如查询净值、收益等），并规范标点符号使用，将半角括号改为全角括号。
薪资服务,电子工资单,用户想要实时查看工资信息、包括基础工资、绩效奖金、五险一金、个税扣除、补贴等，重点为查看当前工资状况，提供准确、实时、个性化的当期或历史工资单信息查询服务。该工作流侧重于**点状数据**的精准答复,qwen-plus,,,,,0,,False,,unknown,
薪资服务,工资明细,用户想要查看工资入账记录，提供工资到账监控、收入波动分析、薪资分配建议等，展示多张工资卡当月工资及较上月的变化情况，对近一年工资进行分析，展示工资变化，重点为展示/分析工资变化情况，提供具有深度洞察力的**趋势性、对比性分析**，帮助员工理解其收入的变化模式、影响因素及与自身职业发展的关联。该工作流侧重于**线性数据**的解读。,Qwen/Qwen3-8B,,,,,4,,True,缺少具体的用户行为示例或更明确的关键词来判别意图,minor,建议在描述中加入更明确的用户行为示例，如'查询工资明细'或'查看工资变化趋势'，以提高意图识别的准确性。同时可适当精简描述，使语言更简洁有力。
快速转账,发起转账请求,,openpangu-2.0-flash,,,描述内容为空，无法判断菜单名'快速转账'与描述是否匹配,描述内容为空，缺乏清晰度、长度和具体业务场景示例|对非金融专业人士无法理解菜单意图,1,描述内容为空，无法用于判断用户查询是否属于此类别,False,缺少转账的具体条件、目标账户类型、金额限制、操作步骤等关键区分信息,critical,必须添加详细的描述内容，包括转账的典型场景（如同行/跨行转账）、操作步骤、限制条件（如金额上限）、用户身份要求等，以明确菜单意图并提升可用性。
快速转账,取消/暂停转账请求,,qwen-plus,,,,,0,,False,,unknown,
