menu_name,sub_intent_name,description,model,reasoning,typo_issues,consistency_issues,quality_issues,clarity_score,judgment_issues,can_judge_user_intent,missing_info,severity,suggestion
i豆,查i豆,查询当前i豆余额，注意与i豆明细区分，后者指查询收支变化，而本意图仅为查询当前余额,qwen-plus,,,,,5,,True,,none,描述简洁准确，无需修改。
i豆,赚i豆,客户参加工银i豆营销活动达标后，按照对应活动规则获取i豆,Qwen/Qwen3-8B,,,,,5,,True,,none,描述内容清晰且准确，无需修改。
i豆,花i豆,客户使用i豆兑换相关产品、权益,openpangu-2.0-flash,,,,,4,缺少兑换的具体产品类型和权益范围,True,缺少兑换的具体产品类型和权益范围，如是否包括虚拟商品、实物商品、服务权益等，以及兑换条件和限制。,minor,建议在描述中增加具体的业务场景示例，例如'兑换机票、酒店、礼品卡等'，并明确i豆的使用范围和限制条件，以提升描述清晰度和判断可行性。
i豆,i豆明细,客户查询最近工银i豆收入、支出明细变化,qwen-plus,,,,,0,,False,,unknown,
理财,理财产品推荐,需要主动向客户推荐理财产品，用户提供风险偏好、投资目标等描述，根据用户潜在投资意向或明确的理财购买需求，个性化推荐最适合的理财产品，注意用户寻求推荐基金不属于此意图,Qwen/Qwen3-8B,,,,,5,描述中未明确说明推荐的理财产品类型（如银行理财、基金、保险等）|未说明推荐逻辑（如基于风险偏好、投资期限、收益目标等）,False,推荐的理财产品类型、推荐逻辑、用户需求与推荐之间的具体关联,minor,建议在描述中增加理财产品类型和推荐逻辑的说明，以提高用户判断意图的准确性。
理财,查持仓,用户想要查询当前持有的理财产品相关状态，注意查询持有基金不属于此意图（只有理财产品才算）,openpangu-2.0-flash,,,,描述中对‘相关状态’的具体含义未明确，可考虑添加如净值、收益等示例以增强清晰度,4,缺少对‘理财产品’的具体定义或范围说明，可能引起边界模糊,True,缺少‘理财产品’的明确定义（如是否包括结构性存款、信托计划等），以及‘相关状态’的具体维度（如净值、收益、到期日）,minor,建议在描述中补充‘理财产品’的简要定义或典型示例，并明确‘相关状态’的具体指标，以提升判断准确性和用户体验。
薪资服务,电子工资单,用户想要实时查看工资信息、包括基础工资、绩效奖金、五险一金、个税扣除、补贴等，重点为查看当前工资状况，提供准确、实时、个性化的当期或历史工资单信息查询服务。该工作流侧重于**点状数据**的精准答复,qwen-plus,,,,,0,,False,,unknown,
薪资服务,工资明细,用户想要查看工资入账记录，提供工资到账监控、收入波动分析、薪资分配建议等，展示多张工资卡当月工资及较上月的变化情况，对近一年工资进行分析，展示工资变化，重点为展示/分析工资变化情况，提供具有深度洞察力的**趋势性、对比性分析**，帮助员工理解其收入的变化模式、影响因素及与自身职业发展的关联。该工作流侧重于**线性数据**的解读。,Qwen/Qwen3-8B,,,,描述对非金融专业人士不够直观|缺乏具体的操作细节或使用场景示例,4,,True,缺少具体的操作细节或使用场景示例,minor,建议补充更具体的业务场景描述，例如‘帮助员工了解工资变化趋势，以便合理规划个人财务’，并简化术语，使非金融专业人士更容易理解。
快速转账,发起转账请求,,openpangu-2.0-flash,,,描述内容为空，无法与菜单名'快速转账'匹配,描述内容为空，缺乏清晰度，无法区分菜单意图|无业务场景示例，对非金融专业人士难以理解|描述长度不足以提供任何信息|存在歧义性，因为未定义转账请求的具体上下文,1,描述为空，用户无法判断查询是否属于此类别,False,需要完整的描述内容，包括转账请求的业务场景、操作步骤、涉及信息（如收款人、金额、账户类型）、限制条件（如单笔限额、币种）等区分信息,critical,必须添加详细的描述内容，建议包含：1) 业务场景说明（如个人向他人转账、跨行转账）；2) 用户操作步骤（如输入收款人信息、确认金额）；3) 关键信息（如必填字段、可选服务）；4) 示例（如'用户发起向朋友转账100元'）。
快速转账,取消/暂停转账请求,,qwen-plus,,,,,0,,False,,unknown,
快速转账,提供收款信息，如收款卡、收款人手机、收款银行,,Qwen/Qwen3-8B,,,菜单名称'快速转账'与空描述不匹配|子意图未明确与描述关联,描述为空，无法体现清晰度|缺乏金融业务场景示例|存在歧义性,0,描述为空，无法让用户判断查询是否属于该菜单,False,缺少具体描述内容以帮助用户识别意图,critical,建议补充详细描述内容，明确'快速转账'菜单的功能和子意图，例如说明该菜单支持通过收款卡、收款人手机、收款银行等信息完成转账操作，以提升用户理解和意图识别准确性。
快速转账,提供付款卡信息，如卡号、卡尾号、卡别名/备注,,openpangu-2.0-flash,,,菜单名'快速转账'与子意图'提供付款卡信息'不匹配，子意图更像信息输入而非转账操作，需描述内容来建立关联,描述内容为空，缺乏清晰度、业务场景示例和必要细节|无法判断歧义性或长度是否合适,1,,False,需要描述内容来定义此菜单的业务范围、操作目的、输入输出规范及与转账的关联，以便用户判断查询是否属于此类别,critical,必须补充完整的描述内容，明确菜单与子意图的业务逻辑关系。建议：1. 描述应解释'提供付款卡信息'在快速转账流程中的作用；2. 考虑调整子意图名称或菜单名以增强一致性；3. 添加业务场景示例（如用户输入卡号信息以完成转账）。
快速转账,提供转账金额,,qwen-plus,,,,,0,,False,,unknown,
快速转账,修改收款信息，如收款卡、收款人手机、收款银行,,Qwen/Qwen3-8B,,,,描述内容为空，无法判断清晰度、长度、歧义性及业务场景示例,1,描述内容为空，用户无法凭此判断是否属于该菜单意图,False,需要明确描述菜单功能及子意图,critical,请补充描述内容，明确菜单功能及子意图，确保用户能够理解并准确判断其意图是否属于该菜单。
快速转账,修改付款卡信息，如卡号、卡尾号、卡别名/备注,,openpangu-2.0-flash,,,菜单名'快速转账'与子意图名'修改付款卡信息'不匹配，应属于转账相关操作，而非卡片信息修改。,描述内容为空，缺乏清晰度|描述长度不足，无业务场景示例|存在歧义，用户无法理解具体操作,1,描述内容为空，用户无法判断意图,False,缺少具体的描述内容，包括操作步骤、业务上下文、区分信息等。,critical,补充详细的描述内容，明确修改付款卡信息的具体场景（如输入新卡号、确认卡别名等）；并修正菜单名称与子意图的一致性，考虑将菜单名称改为与卡片管理相关，例如'付款卡管理'。
快速转账,修改转账金额,,qwen-plus,,,,,0,,False,,unknown,
FAQ,基础概念咨询与科普,用户询问某个金融或业务术语的定义和解释,Qwen/Qwen3-8B,,,,描述较为模糊，'基础概念咨询与科普'和'用户询问某个金融或业务术语的定义和解释'之间的关联性不强，可能引起理解偏差。|缺乏具体的业务场景示例，不利于非金融专业人士理解。,3,描述未明确说明该子意图与其他类似意图（如产品咨询、政策咨询）的区分点，用户难以仅凭此判断意图是否匹配。,False,缺乏明确的区分特征和具体示例，如'解释银行术语如存款、贷款等',minor,建议优化描述，使其更清晰准确。例如：'用户询问银行或金融领域中基础术语的定义与解释'，并增加业务场景示例，如'解释存款、贷款、信用卡等金融术语'，以提升可判断性。
FAQ,平台/系统/APP操作指导,用户咨询如何完成某项具体操作，如“如何修改手机号”,openpangu-2.0-flash,,,,,4,,True,,minor,建议在描述中明确'银行'或'金融'业务上下文，并考虑将菜单名优化为'操作FAQ'以增强一致性。
FAQ,基金/理财相关的申购、赎回、费用规则咨询,用户咨询购买、卖出或相关费用的具体政策,qwen-plus,,,,,0,,False,,unknown,
