menu_a,menu_b,similarity_score,is_confusable,confusion_score,reason,suggestion
i豆/查i豆,i豆/赚i豆,0.8903456423018774,False,0.0,两个子意图语义边界清晰：'查i豆'专指查询当前余额（静态快照），'赚i豆'专指通过活动获得新增i豆（动态获取行为）；名称无重叠、动词（查/赚）与目标（余额/获取）均形成强区分，且描述中明确强调功能差异，无歧义或交叉覆盖风险。,无需修改，当前命名符合'动词+宾语'意图表达规范，建议保持并同步在UI文案中强化动词引导（如'查余额'‘赚豆’），进一步降低用户认知负荷。
i豆/查i豆,i豆/花i豆,0.9258712486880911,True,3.0,菜单A和菜单B均使用'i豆'作为主菜单名称，但子意图名称分别为'查i豆'和'花i豆'，容易造成用户混淆。两者功能不同，但名称相似，可能导致误操作或理解错误。,建议将主菜单名称改为更明确的表述，如'我的i豆'和'i豆使用'，以区分查询与消费功能。
i豆/查i豆,i豆/i豆明细,0.9309054232872133,True,1.0,菜单名称相同，均为'i豆'，子意图名称'查i豆'与'i豆明细'均包含'i豆'，且描述虽区分了余额查询与明细查询，但用户可能因名称相似而混淆功能。,建议将菜单A名称改为'i豆余额'，菜单B名称改为'i豆明细'，或在子意图名称中明确添加'余额'和'明细'以增强区分度，避免误操作。
i豆/查i豆,理财/理财产品推荐,0.8723143639803507,False,0.0,菜单A聚焦于‘i豆’这一专属积分体系的余额查询，语义封闭、对象唯一、与明细严格区分；菜单B聚焦于‘理财产品推荐’这一主动式、个性化、条件驱动的服务意图，且明确排除基金推荐等常见混淆场景。二者在领域（积分 vs. 理财）、功能类型（静态查询 vs. 主动推荐）、实体范畴（账户余额 vs. 产品匹配）和交互逻辑（无前置输入 vs. 需风险偏好等输入）上均无重叠或歧义空间，不存在定义混淆风险。,无需修改，当前定义清晰、边界明确，符合银行菜单设计中‘意图原子性’和‘语义隔离’原则。
i豆/查i豆,理财/查持仓,0.8987410901471509,True,3.0,两个菜单名称和子意图名称均涉及查询操作，但分别指向不同类型的金融产品（i豆和理财产品），且存在潜在的意图为‘查持仓’的理财产品与‘查i豆’的i豆余额混淆的风险。同时，菜单B中特别强调‘持有基金不属于此意图’，可能引起用户对i豆是否属于理财产品或基金的误解。,建议明确区分i豆与其他理财产品，并在描述中明确说明i豆的性质（如虚拟货币、积分等），避免用户因名称或意图相似而产生混淆。
i豆/查i豆,薪资服务/电子工资单,0.8801974381211324,False,0.0,菜单A（i豆-查i豆）聚焦积分余额查询，菜单B（薪资服务-电子工资单）聚焦工资单信息查询，两者主题、名称、功能描述均无重叠，定义清晰独立，无混淆风险。,无需修改，保持当前菜单定义。
i豆/查i豆,薪资服务/工资明细,0.8865787658060792,False,0.0,菜单A与菜单B在名称、业务领域、语义粒度和功能定位上均无重叠：'i豆'为积分类虚拟权益，'查i豆'仅限静态余额查询；'薪资服务'属薪酬管理领域，'工资明细'明确聚焦于多维度、时序性、分析型的工资变动洞察。二者在用户心智、场景上下文、数据类型（标量余额 vs. 多维时序线性数据）及交互目标（确认当前值 vs. 理解变化模式）上高度分离，不存在定义混淆风险。,
i豆/查i豆,快速转账/发起转账请求,0.8953639301675799,False,0.0,菜单A和菜单B在功能和子意图上没有直接关联或相似之处，不存在定义混淆风险。菜单A用于查询i豆余额，菜单B用于发起转账请求，两者属于不同的操作类别。,无需调整，两个菜单定义清晰，无混淆风险。
i豆/查i豆,快速转账/取消/暂停转账请求,0.8953639301675799,False,0.0,菜单A与菜单B主题不同：菜单A为i豆余额查询，菜单B为转账相关操作，语义无重叠，定义清晰。,建议为菜单B添加描述，明确'取消/暂停转账请求'的操作范围，以增强用户体验。
i豆/查i豆,快速转账/提供收款信息，如收款卡、收款人手机、收款银行,0.8960152630884075,True,85.0,菜单B的子意图名称'提供收款信息，如收款卡、收款人手机、收款银行'本质上描述的是用户输入动作（信息录入环节），而非一个可执行的服务意图；它缺乏动宾结构和明确业务目标，易与'转账申请'、'发起转账'等真正服务意图混淆。同时，该名称未体现用户视角的目标（如'我要转账给某人'），也未与菜单名'快速转账'形成清晰的层级关系——'提供收款信息'是转账过程中的一个步骤，不是独立子意图，导致功能边界模糊、交互路径不清晰，存在较高定义混淆风险。,将子意图名称改为'发起快速转账'，并在描述中明确：'根据已输入或选择的收款方信息（卡号/手机号/开户行），立即执行转账操作；若收款信息缺失，则引导补全。注意：本意图代表转账执行动作，非单纯信息收集。'
i豆/查i豆,快速转账/提供付款卡信息，如卡号、卡尾号、卡别名/备注,0.8953639301675799,False,0.0,菜单A和菜单B的功能和子意图名称无直接关联，不存在定义混淆风险。,
i豆/查i豆,快速转账/提供转账金额,0.8953639301675799,False,0.0,菜单A（i豆）专注于查询余额，菜单B（快速转账）专注于转账功能，两者名称、主题及操作无重叠，且菜单A已明确区分与明细的差异，无定义混淆风险。,当前菜单设计清晰，建议维持现状，并可在菜单B中添加简要描述以增强用户体验。
