menu_name,sub_intent_name,description,model,reasoning,typo_issues,consistency_issues,quality_issues,clarity_score,judgment_issues,can_judge_user_intent,missing_info,severity,suggestion
i豆,查i豆,查询当前i豆余额，注意与i豆明细区分，后者指查询收支变化，而本意图仅为查询当前余额,qwen-plus,,,,,0,,False,,unknown,
i豆,赚i豆,客户参加工银i豆营销活动达标后，按照对应活动规则获取i豆,Qwen/Qwen3-8B,,,,缺乏具体业务场景示例|可能产生歧义|描述不够详细,3,描述未明确活动规则和获取方式|无法判断是否符合‘赚i豆’子意图的条件,False,需要补充活动规则和具体的业务场景示例以帮助用户判断意图,minor,建议补充具体的活动规则和业务场景示例，以提高描述清晰度和用户意图判断的准确性。
i豆,花i豆,客户使用i豆兑换相关产品、权益,openpangu-2.0-flash,,,,描述中使用'相关'一词，可能略显模糊，建议更具体说明兑换范围。,4,,True,,minor,建议将描述具体化，例如'客户使用i豆兑换指定产品、服务或权益'，以增强清晰度和区分度。
i豆,i豆明细,客户查询最近工银i豆收入、支出明细变化,qwen-plus,,,,,0,,False,,unknown,
理财,理财产品推荐,需要主动向客户推荐理财产品，用户提供风险偏好、投资目标等描述，根据用户潜在投资意向或明确的理财购买需求，个性化推荐最适合的理财产品，注意用户寻求推荐基金不属于此意图,Qwen/Qwen3-8B,,,,,5,缺少关键区分信息，如推荐的条件或机制,False,推荐条件、推荐机制、与基金推荐的界限说明,minor,建议在描述中补充具体的推荐条件、机制及与基金推荐的区分，以提升意图判断的准确性和清晰度。
理财,查持仓,用户想要查询当前持有的理财产品相关状态，注意查询持有基金不属于此意图（只有理财产品才算）,openpangu-2.0-flash,,,,,4,,True,,none,
薪资服务,电子工资单,用户想要实时查看工资信息、包括基础工资、绩效奖金、五险一金、个税扣除、补贴等，重点为查看当前工资状况，提供准确、实时、个性化的当期或历史工资单信息查询服务。该工作流侧重于**点状数据**的精准答复,qwen-plus,,,,,0,,False,,unknown,
薪资服务,工资明细,用户想要查看工资入账记录，提供工资到账监控、收入波动分析、薪资分配建议等，展示多张工资卡当月工资及较上月的变化情况，对近一年工资进行分析，展示工资变化，重点为展示/分析工资变化情况，提供具有深度洞察力的**趋势性、对比性分析**，帮助员工理解其收入的变化模式、影响因素及与自身职业发展的关联。该工作流侧重于**线性数据**的解读。,Qwen/Qwen3-8B,,,,描述不够清晰，部分术语未解释|缺乏具体的业务场景示例,3,未明确区分薪资服务与其他类似服务的边界,False,需要进一步明确薪资服务与其他服务（如工资卡管理、薪资发放查询）的区分,minor,建议增加对关键词如‘趋势性、对比性分析’的解释，并补充具体业务场景示例，以提高描述的清晰度和可判断性。
快速转账,发起转账请求,,openpangu-2.0-flash,,,描述内容为空，无法确认与菜单名'快速转账'的一致性,描述内容为空|清晰度极低，无法明确区分意图|长度不足，缺乏必要信息|存在歧义性，用户可能误解|无业务场景示例,1,描述为空，无法提供任何判断依据,False,需要描述快速转账的具体条件、转账类型、金额限制、时间范围、操作步骤、适用场景等业务信息,critical,必须立即补充描述内容，明确快速转账的业务定义、操作流程、限制条件、适用场景等，以提升清晰度和实用性
快速转账,取消/暂停转账请求,,qwen-plus,,,,,0,,False,,unknown,
快速转账,提供收款信息，如收款卡、收款人手机、收款银行,,Qwen/Qwen3-8B,,,,描述内容为空，无法判断清晰度、长度、歧义性或业务场景示例,0,描述内容为空，无法判断用户意图是否属于该菜单,False,缺少菜单描述内容,critical,请补充菜单描述内容，明确其功能和子意图，以便进行有效的质检和意图识别。
快速转账,提供付款卡信息，如卡号、卡尾号、卡别名/备注,,openpangu-2.0-flash,,,描述内容为空，与菜单名'快速转账'不匹配|子意图名称'提供付款卡信息'与菜单名潜在不一致，但描述缺失无法验证,描述内容为空，无法提供任何业务信息|清晰度极低，非金融专业人士无法理解菜单意图|缺乏业务场景示例和具体上下文,1,描述内容缺失，用户无法判断查询是否属于此类别|缺少关键区分信息，如转账金额、收款方信息等,False,描述内容完全缺失，需补充快速转账的详细业务定义，包括操作流程、必要信息（如卡号、卡尾号、别名）、示例场景及与付款卡信息的关联说明,critical,必须立即补充描述内容，明确快速转账的业务范围、与付款卡信息的具体关系，并添加清晰、易懂的业务场景示例，确保描述与菜单名一致。
快速转账,提供转账金额,,qwen-plus,,,,,0,,False,,unknown,
快速转账,修改收款信息，如收款卡、收款人手机、收款银行,,Qwen/Qwen3-8B,,,菜单名称与子意图内容不匹配，未明确菜单意图,描述不清晰|缺乏业务场景示例|描述过于简略,2,描述信息不足以帮助用户判断意图,False,缺少具体操作场景、业务说明、功能描述等关键信息,major,建议补充完整的菜单描述，明确其功能、适用场景及具体操作，确保与子意图一致且易于理解。
